Tulossa,Poistuu,Malli,Numero,Kohteen osoite,Postinumero,Postitoimipaikka,Sijaintipaikan tyyppi,Sijaintipaikka,Aukioloaika,Aukioloaika (lisätiedot),Koordinaatti LAT,Koordinaatti LON
,,O+,40338,SUUPANTIE 6,33960,PIRKKALA,PANKIN KONTTORI,OP PIRKKALA,24 H AUKIOLO,,61.466170,23.645600
,,O,04217,KAUPPATIE 11,34300,KURU,PANKIN KONTTORI,OP KURU,24 H AUKIOLO,,61.878500,23.727130
,,O+,40205,RUOVEDENTIE 13,34600,RUOVESI,PANKIN KONTTORI,OP RUOVESI,24 H AUKIOLO,,61.985759,24.070391
,,O+,40195,VIRTAINTIE 28,34800,VIRRAT,KAUPPA,K-SUPERMARKET VIRRAT,24 H AUKIOLO,,62.238720,23.773130
,,O,04532,VIRTAINTIE 40,34800,VIRRAT,PANKIN KONTTORI,OP VIRRAT,24 H AUKIOLO,,62.242299,23.768767
,,P,06017,KESKUSTIE 25,35300,ORIVESI,PANKIN KONTTORI,OP ORIVESI,24 H AUKIOLO,,61.676940,24.357860
,,T,40140,KESKUSTIE 32,35300,ORIVESI,PANKIN KONTTORI,NORDEA ORIVESI,ITSEPALVELUALUEEN AUKIOLO,klo 6-24,61.677170,24.357150
,,P,05714,LÄNKIPOHJANTIE 17,35400,LÄNGELMÄKI,LIIKEKIINTEISTÖ,LIIKETILA, LÄNGELMÄKI,24 H AUKIOLO,,61.729180,24.788640
,,O,04604,KOSKITIE 50,35500,KORKEAKOSKI,PANKIN KONTTORI,OP KORKEAKOSKI,24 H AUKIOLO,,61.797004,24.369761
,,O,04985,PUISTOTIE 1,35600,HALLI,LIIKEKIINTEISTÖ,LIIKETILA, HALLI,24 H AUKIOLO,,61.860920,24.828050
,,P,05880,KAARIKATU 1,35700,VILPPULA,PANKIN KONTTORI,OP VILPPULA,24 H AUKIOLO,,62.022226,24.511854
,,P,05821,SEPPÄLÄN PUISTOTIE 8,35800,MÄNTTÄ,PANKIN KONTTORI,OP MÄNTTÄ,24 H AUKIOLO,,62.031870,24.623680
,,T,40115,SEPPÄLÄNPUISTOTIE 1,35800,MÄNTTÄ,KAUPPA,K-MARKET RUOKAPALETTI,LIIKETILAN AUKIOLO,,62.030640,24.622380
,,O,04155,POSTITIE 3,35990,KOLHO,PANKIN KONTTORI,OP KOLHO,24 H AUKIOLO,,62.138955,24.498858
,,O,05341,RUUTANANTIE 869,36110,RUUTANA,KAUPPA,K-MARKET RUUTANA,24 H AUKIOLO,,61.527140,24.017220
,,O,05443,FINNENTIE 1,36200,KANGASALA,KAUPPA,K-SUPERMARKET KANGASALA,24 H AUKIOLO,,61.462080,24.069200
,,O,04371,KUOHUNHARJUNTIE 26,36200,KANGASALA,PANKIN KONTTORI,OP KANGASALA,24 H AUKIOLO,,61.462363,24.078154
,,O,04577,PUUSEPÄNTIE 31,36200,KANGASALA,KAUPPA,S-MARKET KANGASALA,24 H AUKIOLO,,61.468757,24.037866
,,O+,40177,MÄKIRINTEENTIE 4,36220,KANGASALA,TAVARATALO,TOKMANNI KANGASALA,LIIKETILAN AUKIOLO,,61.473410,23.978220
,,O,04407,VATIALANTIE 1,36240,KANGASALA,PANKIN KONTTORI,OP KANGASALA,24 H AUKIOLO,,61.474532,23.944109
,,P,05891,ISONIEMENTIE 1,36420,SAHALAHTI,LIIKEKIINTEISTÖ,APTEEKKI,24 H AUKIOLO,,61.475800,24.328900
,,O,04091,KESKUSTIE 4,36600,PÄLKÄNE,KAUPPA,K-SUPERMARKET PÄLKÄNE,24 H AUKIOLO,,61.339700,24.269160
,,P,05807,KESKITIE 16,36760,LUOPIOINEN,PANKIN KONTTORI,SP LUOPIOINEN,24 H AUKIOLO,,61.363581,24.657524
,,O,04144,KYYNINKATU 22,37100,NOKIA,KAUPPA,K-SUPERMARKET LÖYTIS,24 H AUKIOLO,,61.483140,23.512830
,,T,40026,PIRKKALAISTORI 1,37100,NOKIA,KAUPPAKESKUS,PIRKKALAISTORIN LIIKEKESKUS,LIIKETILAN AUKIOLO,,61.477920,23.512300
,,P,05919,NUIJAMIESTENTIE 3,37120,NOKIA,KAUPPA,LÖYTÖTAVARATALO,24 H AUKIOLO,,61.465716,23.506260
,,EP,05518,NUIJAMIESTENTIE 5,37120,NOKIA,TAVARATALO,K-CITYMARKET NOKIA,LIIKETILAN AUKIOLO,,61.467630,23.508820
,,P,05814,PINSIÖNTIE 23,37130,NOKIA,KAUPPA,S-MARKET MYLLYHAKA,24 H AUKIOLO,,61.487795,23.494499
,,O,04244,KESONTIE 2,37470,VESILAHTI,LIIKEKIINTEISTÖ,LIIKETILA, VESILAHTI,24 H AUKIOLO,,61.296820,23.639170
,,O,05046,KELHONTIE 254,37500,LEMPÄÄLÄ,LIIKENNEPAIKKA,TEBOIL PIRKANHOVI,LIIKETILAN AUKIOLO,,61.255354,23.842795
,,O+,40250,TAMPEREENTIE 18,37500,LEMPÄÄLÄ,KAUPPA,K-MARKET LEMPÄÄLÄ,24 H AUKIOLO,,61.315890,23.752960
,,P,05779,TAMPEREENTIE 21,37500,LEMPÄÄLÄ,LIIKEKIINTEISTÖ,LIIKETILA, LEMPÄÄLÄ,24 H AUKIOLO,,61.312870,23.752410
,,O,04578,TAMPEREENTIE 272,37560,LEMPÄÄLÄ,KAUPPAKESKUS,KULJUNKARTANO,24 H AUKIOLO,,61.380552,23.779563
,,EP,05485,IDEAPARKINKATU 4,37570,LEMPÄÄLÄ,KAUPPAKESKUS,IDEAPARK,LIIKETILAN AUKIOLO,,61.362270,23.795100
,,T,40064,IDEAPARKINKATU 4,37570,LEMPÄÄLÄ,KAUPPAKESKUS,IDEAPARK,LIIKETILAN AUKIOLO,,61.360510,23.794780
,,P,05870,APIANKATU 3,37600,VALKEAKOSKI,LIIKEKIINTEISTÖ,LIIKETILA, VALKEAKOSKI,24 H AUKIOLO,,61.264290,24.033280
,,O,04465,HAKALANTIE 1,37600,VALKEAKOSKI,KAUPPAKESKUS,VALKEAKOSKEN TORIKESKUS,24 H AUKIOLO,,61.268120,24.032990
,,O,04139,VALTAKATU 9,37600,VALKEAKOSKI,LIIKEKIINTEISTÖ,LIIKEKESKUS KOSKIKARA,24 H AUKIOLO,,61.266820,24.029380
,,T,40062,VALTAKATU 9,37600,VALKEAKOSKI,PANKIN KONTTORI,LIIKEKESKUS KOSKIKARA,LIIKETILAN AUKIOLO,,61.266570,24.029140
,,P,05812,LEMPÄÄLÄNTIE 39,37630,VALKEAKOSKI,KAUPPA,K-MARKET PEPPERONI,24 H AUKIOLO,,61.277800,24.015410
,,O+,40272,HOLKERINTIE 2,37800,AKAA,KAUPPA,K-SUPERMARKET AKAA,24 H AUKIOLO,,61.166140,23.871190
,,O,04364,VALTATIE 8,37800,AKAA,PANKIN KONTTORI,OP TOIJALA,24 H AUKIOLO,,61.168027,23.866616
,,T,40095,VALTATIE 8,37800,AKAA,PANKIN KONTTORI,OP TOIJALA,ITSEPALVELUALUEEN AUKIOLO,ma-su klo 06-22,61.167960,23.866550
,,O+,40270,KESKUSKATU 46,37830,AKAA,KAUPPA,K-MARKET MAUKAS, VIIALA,24 H AUKIOLO,,61.210380,23.767040
,,P,05874,ITSENÄISYYDENTIE 66,38200,SASTAMALA,KAUPPA,K-CITYMARKET SASTAMALA,LIIKETILAN AUKIOLO,,61.321900,22.921620
,,O,04756,PUISTOKATU 12,38200,SASTAMALA,PANKIN KONTTORI,NORDEA SASTAMALA,24 H AUKIOLO,,61.340820,22.910310
,,O,04077,PUISTOKATU 2,38200,SASTAMALA,PANKIN KONTTORI,OP VAMMALA,24 H AUKIOLO,,61.342390,22.907819
,,T,40072,TORIKATU 1,38200,SASTAMALA,KAUPPAKESKUS,TORIKESKUS,LIIKETILAN AUKIOLO,,61.340535,22.909160
,,O,04536,TAITAJANTIE 1,38360,SASTAMALA,LIIKENNEPAIKKA,LIIKETILA,24 H AUKIOLO,,61.474110,22.556840
,,O,04714,KAUPPAKUJA 1,38420,SASTAMALA,LIIKENNEPAIKKA,NESTE HÄIJÄÄ,24 H AUKIOLO,,61.499570,23.091410
,,O,04585,UOTSOLANTIE 43 A,38460,SASTAMALA,PANKIN KONTTORI,OP MOUHIJÄRVI,24 H AUKIOLO,,61.513510,23.008860
,,O,05283,TAMPEREENTIE 5,38600,LAVIA,KAUPPA,SALE LAVIA,24 H AUKIOLO,,61.596364,22.587886
,,O,04492,ASEMAKATU 1,38700,KANKAANPÄÄ,LIIKEKIINTEISTÖ,S-MARKET KANKAANPÄÄ,24 H AUKIOLO,,61.812931,22.375610
,,O,04353,KESKUSKATU 39,38700,KANKAANPÄÄ,KAUPPA,K-CITYMARKET KANKAANPÄÄ,24 H AUKIOLO,,61.806860,22.388890
,,P,05856,KUNINKAANLÄHTEENKATU 4,38700,KANKAANPÄÄ,PANKIN KONTTORI,DANSKE KANKAANPÄÄ,24 H AUKIOLO,,61.803490,22.396720
,,T,40110,TORIKATU 11,38700,KANKAANPÄÄ,PANKIN KONTTORI,OP KANKAANPÄÄ,ITSEPALVELUALUEEN AUKIOLO,ma-su klo 6-23,61.805040,22.395670
,,O,05276,JÄMIJÄRVENTIE 22,38800,JÄMIJÄRVI,PANKIN KONTTORI,POP JÄMIJÄRVI,24 H AUKIOLO,,61.819890,22.691770
,,O,05284,PORHONTIE 1,38950,HONKAJOKI,PANKIN KONTTORI,POP HONKAJOKI,24 H AUKIOLO,,61.993189,22.260539
,,O,04926,VANHA VAASANTIE 1,39160,JULKUJÄRVI,HUOLTOASEMA,SHELL YLÖJÄRVI,24 H AUKIOLO,,61.566413,23.524352
,,EP,05594,KYRELTIE 2,39200,KYRÖSKOSKI,TAVARATALO,K-SUPERMARKET HÄMEENKYRÖ,LIIKETILAN AUKIOLO,,61.656480,23.182490
,,O,03814,VALTAKATU 57,39200,KYRÖSKOSKI,PANKIN KONTTORI,NORDEA KYRÖSKOSKI,,KONTTORI AUKI AJANVARAUSELLA,61.666820,23.179610
,,T,40022,KARHOISTENTIE 3,39500,IKAALINEN,KAUPPAKESKUS,KOMPPI / PÄÄAULA,LIIKETILAN AUKIOLO,,61.756500,23.060760
,,O+,40336,VANHA TAMPEREENTIE 10,39500,IKAALINEN,PANKIN KONTTORI,OP IKAALINEN,24 H AUKIOLO,,61.769840,23.064990
,,T,40129,KESKUSKATU 8,39700,PARKANO,PANKIN KONTTORI,OP PARKANO,ITSEPALVELUALUEEN AUKIOLO,24/7,62.010470,23.022880
,,P,05784,KESKUSKATU 9,39700,PARKANO,KAUPPA,K-SUPERMARKET PARKANO,,,62.010100,23.019090
,,P,06004,PAHKALANTIE 2,39700,PARKANO,HUOLTOASEMA,SHELL PARKANO,24 H AUKIOLO,,62.005640,23.012190
,,P,05806,VALKAMATIE 2,39820,KIHNIÖ,PANKIN KONTTORI,OP KIHNIÖ,24 H AUKIOLO,,62.207331,23.178044
,,O,03883,KYLÄKARVIANTIE 30,39930,KARVIA,PANKIN KONTTORI,OP KARVIA,24 H AUKIOLO,,62.133330,22.558330
,,EP,05459,ASEMAKATU 5,40100,JYVÄSKYLÄ,KAUPPAKESKUS,FORUM,LIIKETILAN AUKIOLO,,62.241970,25.748640
,,P,05669,HANNIKAISENKATU 20,40100,JYVÄSKYLÄ,LINJA-AUTOASEMA,MATKAKESKUS,LIIKETILAN AUKIOLO,,62.242230,25.755070
,,O,05037,KAUPPAKATU 18,40100,JYVÄSKYLÄ,PANKIN KONTTORI,NORDEA JYVÄSKYLÄ,24 H AUKIOLO,,62.241540,25.745270
,,P,05786,KAUPPAKATU 22,40100,JYVÄSKYLÄ,PANKIN KONTTORI,OP JYVÄSKYLÄ,24 H AUKIOLO,,62.242360,25.746990
,,T,40028,KAUPPAKATU 22,40100,JYVÄSKYLÄ,KAUPPAKESKUS,FORUM,LIIKETILAN AUKIOLO,,62.242350,25.747240
,,EP,05446,KAUPPAKATU 24,40100,JYVÄSKYLÄ,TAVARATALO,SOKOS JYVÄSKYLÄ,LIIKETILAN AUKIOLO,,62.242715,25.747770
,,P,05912,KAUPPAKATU 24,40100,JYVÄSKYLÄ,TAVARATALO,SOKOS JYVÄSKYLÄ,24 H AUKIOLO,,62.242715,25.747770
,,O+,40299,LUTAKONAUKIO 1,40100,JYVÄSKYLÄ,TAVARATALO,K-SUPERMARKET LUTAKKO,24 H AUKIOLO,,62.238900,25.753400
,,EP,05605,PUISTOKATU 2,40100,JYVÄSKYLÄ,KAUPPAKESKUS,KOLMIKULMA,LIIKETILAN AUKIOLO,,62.244475,25.750582
,,P,05955,VAPAAHERRANTIE 2,40100,JYVÄSKYLÄ,KAUPPAKESKUS,TOURULAN PALVELUKESKUS,24 H AUKIOLO,,62.250829,25.768751
,,P,05732,VAPAUDENKATU 51,40100,JYVÄSKYLÄ,KAUPPAKESKUS,FORUM,24 H AUKIOLO,,62.241853,25.749673
,,EP,05533,PALOKANORSI 1,40270,PALOKKA,TAVARATALO,PRISMA PALOKKA,LIIKETILAN AUKIOLO,,62.288920,25.716990
,,T,40037,PALOKANORSI 1,40270,PALOKKA,KAUPPAKESKUS,PRISMA - LIIKEKESKUS,LIIKETILAN AUKIOLO,,62.288380,25.716530
,,P,05948,SAARIJÄRVENTIE 52,40270,PALOKKA,KAUPPAKESKUS,PALOKAN KAUPPAKESKUS,24 H AUKIOLO,,62.287843,25.715024
,,O+,40244,SAMMONTIE 1,40270,PALOKKA,TAVARATALO,KOTIKESKUS/KÄRKKÄINEN,LIIKETILAN AUKIOLO,,62.286710,25.720590
,,O,03899,AHJOKATU 18,40320,JYVÄSKYLÄ,TAVARATALO,AHJOKEISARI,LIIKETILAN AUKIOLO,,62.259700,25.779060
,,T,40002,AHJOKATU 5,40320,JYVÄSKYLÄ,KAUPPAKESKUS,KAUPPAKESKUS SEPPÄ,LIIKETILAN AUKIOLO,,62.256010,25.777260
,,EP,05479,AHJOKATU 7,40320,JYVÄSKYLÄ,TAVARATALO,PRISMA SEPPÄLÄ / PÄÄSISÄÄNKÄYNTI 1 KRS.,LIIKETILAN AUKIOLO,,62.257880,25.778020
,,O,04199,VAPAAHERRANTIE 11,40320,JYVÄSKYLÄ,TAVARATALO,MINIMANI,LIIKETILAN AUKIOLO,,62.254020,25.764090
,,T,40155,VASARAKATU 29,40320,JYVÄSKYLÄ,TAVARATALO,K-CITYMARKET SEPPÄLÄ,LIIKETILAN AUKIOLO,,62.264310,25.776820
,,P,05676,NEVAKATU 1,40340,JYVÄSKYLÄ,LIIKEKIINTEISTÖ,HUHTAKOTI,24 H AUKIOLO,,62.271352,25.800148
,,EP,05522,KYLMÄLAHDENTIE 6,40500,JYVÄSKYLÄ,TAVARATALO,K-CITYMARKET KELJO,LIIKETILAN AUKIOLO,,62.215980,25.719500
,,T,40041,KYLMÄLAHDENTIE 6,40500,JYVÄSKYLÄ,KAUPPAKESKUS,KELJON LIIKEKESKUS,LIIKETILAN AUKIOLO,,62.215580,25.720350
,,O,03731,KYLMÄLAHDENTIE 8,40500,JYVÄSKYLÄ,TAVARATALO,PRISMA KELJO,24 H AUKIOLO,,62.217180,25.720870
,,EP,05566,KYLMÄLAHDENTIE 8,40500,JYVÄSKYLÄ,TAVARATALO,PRISMA KELJO,LIIKETILAN AUKIOLO,,62.217730,25.720510
,,P,05672,SYÖTTÄJÄNKATU 2,40520,JYVÄSKYLÄ,KAUPPAKESKUS,KUOKKALAN LIIKEKESKUS,24 H AUKIOLO,,62.227688,25.773370
,,P,05985,KELTINMÄENTIE 13,40640,JYVÄSKYLÄ,KAUPPA,S-MARKET KELTINMÄKI,24 H AUKIOLO,,62.228050,25.681320
,,P,05956,KAIVOKATU 1,40700,JYVÄSKYLÄ,KAUPPA,K-SUPERMARKET LÄNSIVÄYLÄ,24 H AUKIOLO,,62.243520,25.713760
,,O,04466,VOIONMAANKATU 7,40700,JYVÄSKYLÄ,KAUPPA,K-MARKET RUOKAVINKKI,24 H AUKIOLO,,62.239650,25.729260
,,P,05708,ASEMATIE 1,40800,VAAJAKOSKI,KAUPPA,S-MARKET VAAJALA,24 H AUKIOLO,,62.248040,25.877010
,,P,05816,VAAJAKOSKENTIE 850,40800,VAAJAKOSKI,LIIKENNEPAIKKA,ABC VAAJAKOSKI,LIIKETILAN AUKIOLO,,62.230041,25.900326
,,O,04975,PARVIAISENTIE 3,40900,SÄYNÄTSALO,LIIKEKIINTEISTÖ,LIIKETILA, SÄYNÄTSALO,24 H AUKIOLO,,62.138320,25.766150
,,P,05966,SETÄLÄNTIE 2,40950,MUURAME,KAUPPAKESKUS,MUURAMEN KAUPPAKESKUS,24 H AUKIOLO,,62.136430,25.673170
,,O,05083,KIRKKOKATU 1,41160,TIKKAKOSKI,LIIKEKIINTEISTÖ,LIIKETILA, TIKKAKOSKI,24 H AUKIOLO,,62.388700,25.646340
,,O,04935,LAUKAANTIE 22,41340,LAUKAA,PANKIN KONTTORI,OP LAUKAA,24 H AUKIOLO,,62.414338,25.954131
,,O+,40234,VUOJÄRVEN PUISTOTIE 13,41340,LAUKAA,KAUPPA,K-SUPERMARKET LAUKAA,24 H AUKIOLO,,62.413370,25.947540
,,P,05670,LIEPEENTIE 2 A,41400,LIEVESTUORE,HUOLTOASEMA,SHELL LIEVESTUORE,24 H AUKIOLO,,62.250910,26.177470
,,O,03793,KESKUSTIE 36,41520,HANKASALMI,PANKIN KONTTORI,OP HANKASALMI,24 H AUKIOLO,,62.390680,26.435430
,,O,04220,TOIVAKANTIE 30,41660,TOIVAKKA,KAUPPA,K-MARKET PERÄLÄ,24 H AUKIOLO,,62.095745,26.079475
,,O+,40265,MARTINPOLKU 23,41800,KORPILAHTI,PANKIN KONTTORI,OP KORPILAHTI,24 H AUKIOLO,,62.017310,25.561930
,,O+,40309,KIRKKOTIE 6,41900,PETÄJÄVESI,PANKIN KONTTORI,OP PETÄJÄVESI,24 H AUKIOLO,,62.255820,25.182720
,,T,40136,KESKUSKATU 11,42100,JÄMSÄ,PANKIN KONTTORI,OP JÄMSÄ,ITSEPALVELUALUEEN AUKIOLO,24/7,61.864780,25.193010
,,P,05736,KESKUSKATU 23,42100,JÄMSÄ,KAUPPA,K-CITYMARKET JÄMSÄ,24 H AUKIOLO,,61.866590,25.201060
,,P,06018,KESKUSKATU 3,42100,JÄMSÄ,PANKIN KONTTORI,NORDEA JÄMSÄ,24 H AUKIOLO,,61.863770,25.189090
,,P,05975,KENRAALINTIE 9,42300,JÄMSÄNKOSKI,KAUPPA,K-MARKET VILJA,24 H AUKIOLO,,61.919390,25.174120
,,O,05286,KESKUSTIE 29 A,42600,MULTIA,PANKIN KONTTORI,OP MULTIA,24 H AUKIOLO,,62.408630,24.796480
,,O,04198,JYVÄSKYLÄNTIE 5,42700,KEURUU,LIIKENNEPAIKKA,ABC KEURUU,24 H AUKIOLO,,62.254490,24.719198
,,O,05160,KEURUUNTIE 9,42700,KEURUU,KAUPPA,S-MARKET KEURUU,24 H AUKIOLO,,62.258067,24.708407
,,O+,40242,TERVANTIE 2,42700,KEURUU,KAUPPA,K-SUPERMARKET JÄRVITUULI,LIIKETILAN AUKIOLO,,62.261120,24.692040
,,O,04603,PIHLAJAVEDENTIE 3,42800,HAAPAMÄKI,PANKIN KONTTORI,OP HAAPAMÄKI,24 H AUKIOLO,,62.252604,24.453758
,,T,40131,KAUPPAKATU 3,43100,SAARIJÄRVI,PANKIN KONTTORI,OP SAARIJÄRVI,ITSEPALVELUALUEEN AUKIOLO,ma-su klo 5:30 - 23:00,62.705300,25.259630
,,P,05774,TORIKATU 5 A,43100,SAARIJÄRVI,KAUPPA,K-SUPERMARKET MINTTU,24 H AUKIOLO,,62.707780,25.257930
,,O,05277,TORITIE 3 A,43300,KANNONKOSKI,PANKIN KONTTORI,POP KANNONKOSKI,24 H AUKIOLO,,62.977448,25.262187
,,P,05684,VIRASTOTIE 8,43500,KARSTULA,PANKIN KONTTORI,OP KARSTULA,24 H AUKIOLO,,62.878874,24.803062
,,O,05287,VAASANTIE 2,43700,KYYJÄRVI,KAUPPAKESKUS,PALETTI,24 H AUKIOLO,,63.042880,24.560480
,,O,04151,VIRASTOTIE 2,43800,KIVIJÄRVI,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,63.120390,25.074120
,,O,04562,KESKUSTIE 47,43900,KINNULA,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,63.367970,24.965410
,,O,04325,RANNANKYLÄNTIE 11,44100,ÄÄNEKOSKI,LIIKENNEPAIKKA,ABC HIRVASKANGAS,LIIKETILAN AUKIOLO,,62.518223,25.690208
,,O,04046,TORIKATU 1,44100,ÄÄNEKOSKI,KAUPPA,JYSK,24 H AUKIOLO,,62.604083,25.724393
,,O,03807,TORIKATU 2,44100,ÄÄNEKOSKI,PANKIN KONTTORI,OP ÄÄNEKOSKI,24 H AUKIOLO,,62.603900,25.725900
,,T,40126,TYÖSKINTIE 3,44100,ÄÄNEKOSKI,TAVARATALO,K-CITYMARKET ÄÄNEKOSKI,LIIKETILAN AUKIOLO,,62.602810,25.723980
,,P,05974,ASEMAKATU 22,44200,SUOLAHTI,KAUPPA,K-SUPERMARKET SUOLAHTI,24 H AUKIOLO,,62.563870,25.852160
,,O,05288,KAUPPATIE 29,44300,KONNEVESI,PANKIN KONTTORI,POP KONNEVESI,24 H AUKIOLO,,62.627860,26.288560
,,O,04968,KAUPPATIE 2,44400,KONGINKANGAS,LIIKEKIINTEISTÖ,KONGINKANKAAN OP-LIIKEKESKUS,24 H AUKIOLO,,62.780306,25.806140
,,O+,40263,POSTIKUJA 1,44500,VIITASAARI,LIIKEKIINTEISTÖ,VIITASAAREN LIIKEKESKUS,24 H AUKIOLO,,63.074100,25.860650
,,O+,40235,ASEMATIE 14,44800,PIHTIPUDAS,PANKIN KONTTORI,OP PIHTIPUDAS,24 H AUKIOLO,,63.370880,25.576100
,,EP,05509,HALLITUSKATU 3,45100,KOUVOLA,RAUTATIEASEMA,RAUTATIEASEMA / ASEMAHALLI,LIIKETILAN AUKIOLO,,60.866804,26.704924
,,EP,05510,KESKIKATU 2,45100,KOUVOLA,KAUPPAKESKUS,HANSAKESKUS,LIIKETILAN AUKIOLO,,60.868628,26.701566
,,O+,40249,KOUVOLANKATU 15,45100,KOUVOLA,KAUPPAKESKUS,KAUPPAKESKUS VALTARI,LIIKETILAN AUKIOLO,,60.867730,26.707530
,,T,40047,TORIKATU 3-5,45100,KOUVOLA,KAUPPAKESKUS,HANSAKESKUS,LIIKETILAN AUKIOLO,,60.868740,26.700080
,,O,04539,TOMMOLANKATU 9,45130,KOUVOLA,TAVARATALO,PRISMA KOUVOLA,24 H AUKIOLO,,60.870866,26.657298
,,T,40055,TOMMOLANKATU 9,45130,KOUVOLA,TAVARATALO,PRISMA KOUVOLA,LIIKETILAN AUKIOLO,,60.870870,26.657300
,,P,05815,KARTANOKATU 2-6,45150,KOUVOLA,KAUPPA,K-SUPERMARKET KANKARO,24 H AUKIOLO,,60.852420,26.695400
,,O,04921,MADEKUJA 2,45160,KOUVOLA,KIOSKI,R-KIOSKI LEHTOMÄKI,24 H AUKIOLO,,60.887850,26.725540
,,P,05922,UTINKATU 65,45200,KOUVOLA,KAUPPA,K-SUPERMARKET TORKKARI,24 H AUKIOLO,,60.874540,26.740580
,,O,04231,KALEVANTIE 1,45370,VALKEALA,LIIKENNEPAIKKA,ABC VALKEALA,24 H AUKIOLO,,60.930020,26.800630
,,EP,05647,LENTOPORTINTIE 3,45410,UTTI,LIIKENNEPAIKKA,ABC UTTI,LIIKETILAN AUKIOLO,,60.894580,26.911150
,VKO 05/2019,O+,40330,PORVARINPOLKU 9,45610,KORIA,PANKIN KONTTORI,OP KORIA,24 H AUKIOLO,,60.847060,26.603160
VKO 05/2019,,O+,40330,PORVARINPOLKU 9,45610,KORIA,PANKIN KONTTORI,OP KORIA,24 H AUKIOLO,,60.847060,26.603160
,,EP,05515,SUVIOJANTIE 19,45610,KORIA,LIIKENNEPAIKKA,ABC KORIA,LIIKETILAN AUKIOLO,,60.859005,26.568164
,,O+,40301,KAUPPAKATU 7,45700,KUUSANKOSKI,KAUPPA,K-SUPERMARKET KOSKITUULI,24 H AUKIOLO,,60.907790,26.627980
,,EP,05514,KYMENLAAKSONKATU 2,45700,KUUSANKOSKI,TAVARATALO,KUUSANKOSKEN OSTOSKESKUS,LIIKETILAN AUKIOLO,,60.907180,26.625580
,08.01.2019,O,05049,VALTAKATU 40,45700,KUUSANKOSKI,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,60.907260,26.622300
,,EP,05643,TERVASHARJUNKATU 1,45720,KUUSANKOSKI,KAUPPAKESKUS,VETURI,LIIKETILAN AUKIOLO,,60.876821,26.651298
,,T,40143,TERVASHARJUNKATU 1,45720,KUUSANKOSKI,KAUPPAKESKUS,VETURI / CM,LIIKETILAN AUKIOLO,,60.876820,26.651300
,,P,05843,KUPARINTIE 4,45910,VOIKKAA,KAUPPA,K-MARKET WOIKANTORI,24 H AUKIOLO,,60.940980,26.621180
,,O,03896,VARUSKUNTA-ALUE,46140,VEKARANJÄRVI,VARUSKUNTA,VEKARANJÄRVI  SOTILASKOTI,24 H AUKIOLO,,61.115320,26.984510
,,P,06027,KESKIKOSKENTIE 3,46800,MYLLYKOSKI,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,60.765090,26.786590
,,O+,40302,JOKIPELLONTIE 12,46900,INKEROINEN,KIOSKI,R-KIOSKI INKEROINEN,24 H AUKIOLO,,60.693110,26.839080
,,P,05850,ELIMÄENTIE 30,46910,ANJALA,KAUPPA,K-MARKET ANJALA,24 H AUKIOLO,,60.688560,26.805390
,,O,04358,VANHAMAANTIE 9,47200,ELIMÄKI,PANKIN KONTTORI,OP ELIMÄKI,24 H AUKIOLO,,60.721556,26.447138
,VKO 02/2019,O,03924,IITINTIE 9,47400,KAUSALA,PANKIN KONTTORI,OP KAUSALA,24 H AUKIOLO,,60.888770,26.337280
,,O+,40328,MERRANKUJA 2,47400,KAUSALA,KAUPPA,K-MARKET TILTUNTORI,24 H AUKIOLO,,60.887680,26.338970
,,O,04096,JAALANTIE 120,47710,JAALA,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,61.049380,26.484770
,,O,05327,KAPTEENINKATU 14,48100,KOTKA,POSTI,POSTI KOTKA,24 H AUKIOLO,,60.463544,26.941077
,,O,05063,KIRKKOKATU 5,48100,KOTKA,PANKIN KONTTORI,DANSKE KOTKA,24 H AUKIOLO,,60.467685,26.945269
,,O,05186,KIRKKOKATU 7,48100,KOTKA,PANKIN KONTTORI,NORDEA KOTKA,24 H AUKIOLO,,60.467050,26.943700
,,EP,05477,KIRKKOKATU 7,48100,KOTKA,KAUPPAKESKUS,PASAATI,LIIKETILAN AUKIOLO,,60.466810,26.944280
,,T,40133,KIRKKOKATU 7,48100,KOTKA,KAUPPAKESKUS,PASAATI,LIIKETILAN AUKIOLO,,60.466550,26.944560
,,P,06035,KOULUKATU 6 B,48100,KOTKA,KAUPPA,K-SUPERMARKET POOKI,24 H AUKIOLO,,60.460230,26.939990
,,EP,05546,SUURSAARENKATU 3,48100,KOTKA,TAVARATALO,TOKMANNI,LIIKETILAN AUKIOLO,,60.456400,26.931720
,,O,05039,HAKAMÄENTIE 1,48400,KOTKA,TAVARATALO,PRISMA KOTKA / ULKONA,24 H AUKIOLO,,60.500940,26.869200
,,EP,05457,HAKAMÄENTIE 1,48400,KOTKA,TAVARATALO,PRISMA KOTKA,LIIKETILAN AUKIOLO,,60.500980,26.869080
,,T,40056,HAKAMÄENTIE 1,48400,KOTKA,TAVARATALO,PRISMA KOTKA,LIIKETILAN AUKIOLO,,60.500920,26.868280
